RegionName	City	State	CountyName	2008-06	2008-07	2008-08	2008-09	2008-10	2008-11	2008-12	2009-01	2009-02	2009-03	2009-04	2009-05	2009-06	2009-07	2009-08	2009-09	2009-10	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07
7849	Jefferson Township	NJ	Morris	314100	311400	309200	307800	307500	305400	303100	303600	306200	307400	308200	308600	308200	306400	303100	299200	296200	295500	296500	297500	297000	295500	295300	295600	294100	292200	291800	291200	289200	287200	285600	283600	281100	278500	275200	273300	273200	273400	273200	273000	271600	270800	270600	270200	269200	268100	266100	263200	259700	256900	255600	255600	255700	256200	256400	256200	256800	257400	257500	257600	257900	258300	259500	261300	263100	264700	265600	266300	266700	267800	269500	271100	272700	274500	275400	274100	271900	269800	267500	264600	262600	261800	261900	262800	264200	265700
7850	Roxbury Township	NJ	Morris	300800	300700	299700	297500	294300	289900	286800	285200	284000	282300	280500	278300	276100	275100	274600	274600	275700	277600	278600	279600	281300	281900	280500	278900	277000	274300	271900	270700	270100	269500	267300	264200	261600	259100	256800	255600	255100	254900	255000	254100	252500	251400	251200	251100	250200	248100	246200	245500	244300	242900	242600	242900	242900	242800	242000	240500	240000	240600	240200	238800	238700	239700	240100	240100	240500	242000	244500	247100	248300	249700	252300	254900	256000	255800	255100	254900	254100	252000	250000	248400	247500	247900	248900	249400	249300	249100
7852	Roxbury Township	NJ	Morris	316100	314200	312700	311000	307900	303700	300800	300700	301000	300100	298000	295200	293000	291700	291100	290700	290700	291300	292300	292500	291700	290100	289300	289200	288900	287900	286800	285400	283800	282700	282000	281300	280900	280400	279900	279900	279900	279600	278700	277200	276200	275700	275100	274300	273300	271400	268600	266100	263900	261400	260100	259900	259700	259100	258900	259300	260100	260400	260000	260300	261200	262800	264500	266900	269600	272300	273500	274100	274200	275000	278500	282100	283200	282700	281800	280700	279200	277400	275600	273100	270800	270400	270700	270400	270500	271200
7853	Long Valley	NJ	Morris	493600	488700	483500	477900	472300	466900	462400	457800	453800	449100	443600	438200	432900	427800	424300	421700	419500	418800	419400	420200	420600	420600	420700	421700	422500	423000	422700	421500	419600	418400	417100	414300	412400	412300	410700	407300	405200	404800	404700	405400	406700	407600	408000	409100	410000	408400	405400	403100	402600	403500	404500	404900	404300	402800	400000	397400	395800	394300	393200	394000	396200	399000	401700	404400	407000	410100	412500	415400	418400	424000	432300	440600	445500	446600	446100	446000	445800	444800	444500	444500	443700	442500	441600	441000	441800	443300
7856	Mount Arlington	NJ	Morris	334200	333600	334100	333000	330800	328200	326300	324900	323800	322100	319500	317100	315400	313700	311300	309300	308000	308000	308400	308900	309000	308200	306500	305400	305000	304600	303500	302600	302000	301400	300300	298900	296200	292000	287900	285200	284100	284000	284100	283900	284100	284100	283600	283100	283400	283100	281400	278800	276600	275300	274700	274700	274900	275000	274100	273300	273100	273700	274300	275900	277500	277600	277500	278300	278000	278200	279800	281400	282300	286700	295500	303600	305800	304700	302900	300900	298900	297900	298300	298200	297200	296000	294400	292700	293200	294900
7857	Netcong	NJ	Morris	281200	279000	277100	274900	273400	271100	269100	268300	269500	270000	269300	268400	268600	268500	267500	266500	266100	267100	268800	270200	270800	271500	272700	273500	272800	270500	267400	265300	265100	265300	264700	263700	261700	257900	254200	252700	252500	251600	250600	249500	248800	248800	249900	250700	250300	248900	247800	248800	250300	250600	250400	251000	252200	253000	251800	249600	248300	248800	247900	244900	242600	242800	243200	243200	243700	244900	246300	247700	249100	252200	256400	259500	260100	260100	261100	262100	260200	256900	254800	253500	252500	251800	251500	250700	249900	249300
7860	Newton	NJ	Sussex	294200	294100	293800	292300	289400	285100	280200	276000	272700	268800	264400	261100	259500	259200	260500	262000	263000	263800	263800	262700	260800	259000	257500	255700	253900	253000	252000	249300	246800	245600	244000	240500	237500	235800	234000	231800	229200	225700	222500	221100	220300	218200	216000	215200	214700	214200	214400	214500	213900	213500	213300	212200	210500	209000	208400	208400	209200	210300	210700	211000	211500	212400	213000	215000	217900	221100	223900	226300	226400	225500	224700	223100	220800	219400	219500	220300	220400	219900	218600	217700	217800	218800	218900	219300	221500	224400
7863	Oxford Township	NJ	Warren	254300	252400	250600	248900	245800	242900	243800	247100	250100	252500	255300	256500	256700	255000	252300	250100	249500	249300	248100	246200	244000	241300	237500	234600	233500	232900	232000	230900	228900	226700	225000	223500	221500	218800	216700	215200	213000	210700	209400	208600	207300	205300	203300	201300	200000	199800	199400	197800	195600	193600	192300	191600	191100	190500	189900	189600	188800	187800	186500	185600	184700	185400	186400	187400	189100	191700	193100	193900	194100	194100	196200	199900	202800	204200	205400	206300	205700	205100	205800	206800	207200	207700	207600	207600	208500	209700
7865	Mansfield Township	NJ	Warren	300500	296800	294500	292500	288800	286300	287700	290000	290900	291000	290200	288700	287100	285800	285600	285500	284700	282200	280600	279600	278500	276600	276100	276300	276000	275000	274000	272300	270400	269300	267300	264500	263100	262400	260400	257700	256400	255300	253200	250200	247800	246600	246300	245400	243800	241500	239000	236900	235600	234900	233700	232500	230900	229700	228000	226000	224700	224200	222900	221300	221700	224100	227100	230000	233700	238100	241500	243900	244900	246600	249800	251600	250000	247900	247300	247100	246700	245600	244300	244500	246600	248200	248800	249700	251800	253900
7866	Rockaway Township	NJ	Morris	345600	342900	340600	338800	337000	334800	331900	329100	327100	324900	322600	320700	320100	320200	320100	319100	317800	317700	318500	318900	318300	316800	315600	314700	313600	312300	311500	310600	309100	307300	305800	304600	303200	301500	299100	297000	295200	293800	292200	290200	288500	287300	286700	285600	284000	282300	280900	279600	278300	277400	276700	275700	274400	272500	270100	268700	269100	269700	269700	269700	270400	271500	272700	274400	276600	279100	281600	283800	285600	289000	294800	300200	302300	303000	303500	304700	305600	305500	304700	303800	303200	303200	303300	303700	304600	305600
7869	Randolph	NJ	Morris	511500	507200	502700	497700	492700	487300	483100	480700	480000	478700	476300	473700	471600	469300	467000	465800	466300	467700	469000	470300	470200	468100	466000	465400	465900	466500	467000	466600	464900	463000	461300	458800	455600	451100	445900	441100	437300	434400	432800	432400	432100	431900	431500	431600	432100	432400	431900	431200	430800	432200	435400	438500	441400	444300	445300	443900	442900	442100	441300	440800	442300	445100	446100	446000	448400	452200	455700	459000	461000	464800	472800	479600	480900	479400	477200	473500	468200	463600	460900	459600	459800	462100	464900	467400	469500	471100
7871	Sparta	NJ	Sussex	365400	365300	363800	364500	366700	366300	363900	362900	361300	355700	350400	348200	349100	349900	350700	350800	350900	352200	352400	349500	346500	345800	344700	342200	340100	339800	339800	338500	336800	335200	334000	331900	329300	326500	324600	322400	319500	316500	314500	313100	311900	311000	309700	308000	306700	306300	305900	305100	303100	301700	301800	302300	301600	300500	298900	297300	296300	295600	294700	295100	296500	297700	297700	300500	304000	307500	312000	317600	319900	320000	317900	314500	311900	311500	312200	311400	308800	306500	304900	304300	307100	312800	317800	320300	323100	325900
7874	Stanhope	NJ	Sussex	269400	270800	273000	272000	267300	261300	256400	253100	250900	247600	244400	242100	241400	241500	242100	242400	243700	246600	248300	247600	246200	244800	243800	242000	239900	238600	237800	236900	236000	235100	234400	233100	230400	227200	223300	220000	217200	214500	211800	210400	209400	208200	207100	206200	205800	206700	208600	208900	207400	205600	204800	204200	203100	201100	199100	198400	199600	200700	201500	203400	206500	208900	210900	212500	214600	217400	220600	222400	221900	220000	217800	215500	212800	211200	211200	212900	214400	214700	213900	213500	214500	216400	217500	218900	222500	226100
7876	Succasunna	NJ	Morris	395700	392900	389800	385700	380600	375000	370400	366400	363000	360700	358500	355600	352300	349700	348900	349300	349400	349500	349700	349600	349200	348800	349400	350400	351500	352400	352700	352400	352200	352500	352900	353200	352600	349800	345600	342600	340400	338100	335700	334000	332800	331700	330800	330100	329600	329100	328000	326700	325700	325200	325300	326000	326600	327100	326800	326100	326400	327300	327400	326400	324900	325200	327100	329300	331700	335100	338300	341200	342400	343600	347300	352300	354100	354000	353900	353300	350100	346300	343200	341700	342300	344200	345700	347000	349100	351300
