RegionName	StateName	2008-06	2008-07	2008-08	2008-09	2008-10	2008-11	2008-12	2009-01	2009-02	2009-03	2009-04	2009-05	2009-06	2009-07	2009-08	2009-09	2009-10	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07
13118	NY	1	5	2	3	4	0	2	3	4	2	1	2	0	3	1	4	5	3	1	2	4	1	1	3	4	3	3	8	2	2	4	3	0	3	1	0	3	1	3	0	2	4	4	2	2	1	0	3	1	6	3	1	2	3	2	2	1	1	4	2	6	4	5	3	3	5	4	2	3	1	3	3	4	3	3	1	1	5	0	3	2	2	2	2	5	3
13120	NY	0	5	2	0	1	3	2	1	1	1	0	2	1	2	1	1	2	3	4	1	1	1	2	0	7	2	4	3	1	1	5	0	0	3	1	0	3	3	4	1	0	2	1	0	0	2	0	0	2	1	0	2	1	1	1	0	0	0	1	2	1	1	1	0	2	0	1	0	0	2	1	0	2	1	3	0	5	3	0	1	0	3	0	2	0	0
13126	NY	22	55	29	36	29	26	30	8	7	11	16	29	21	31	33	33	33	28	34	14	19	15	18	21	47	22	14	20	23	22	32	14	22	22	22	18	20	22	43	26	16	23	25	14	10	19	19	21	40	15	36	28	38	26	22	19	12	22	23	26	27	41	36	28	28	22	26	17	13	11	17	32	20	31	36	35	32	17	27	15	20	17	21	19	25	33
13131	NY	3	6	4	3	3	1	3	1	1	1	1	1	0	1	2	1	8	2	1	0	3	2	2	1	2	0	1	4	4	3	1	1	1	0	1	3	3	1	1	0	5	3	0	0	2	1	1	1	2	1	3	2	7	0	1	2	4	1	1	4	2	2	3	1	5	0	0	1	1	0	3	2	2	1	9	3	0	2	1	2	4	3	2	1	2	4
13132	NY	6	4	7	6	4	3	3	0	1	1	1	1	4	3	4	1	3	1	3	2	1	1	2	2	3	3	1	4	4	3	1	0	1	3	0	1	2	6	3	3	4	3	4	3	3	0	3	2	3	1	1	1	4	1	0	0	1	2	0	4	3	0	2	5	1	2	4	2	2	1	3	3	4	0	7	4	7	6	6	0	2	0	1	5	1	3
13135	NY	5	10	7	3	6	5	4	3	3	3	2	4	7	5	6	7	3	6	1	1	2	3	2	1	6	5	11	2	8	8	5	2	3	7	1	4	1	4	4	4	4	5	1	6	2	0	4	2	3	3	6	4	7	6	2	8	3	5	4	6	5	4	10	9	5	7	3	2	2	4	6	4	4	6	8	4	8	4	9	2	2	1	3	7	6	3
13140	NY	1	3	0	2	3	1	1	3	1	2	0	2	2	4	2	2	4	4	1	2	1	1	1	1	3	1	2	3	2	1	4	0	4	1	0	1	4	2	4	2	3	1	3	1	1	2	1	2	0	1	7	3	3	5	1	1	1	1	2	0	1	3	4	4	1	4	1	3	4	1	2	4	2	1	5	2	1	3	2	3	0	2	2	5	0	2
13142	NY	5	4	6	4	13	7	5	3	1	1	2	3	11	3	6	9	5	4	6	3	1	2	3	5	3	5	9	2	7	3	2	1	1	2	5	4	2	4	3	4	2	7	7	3	2	3	3	2	7	7	5	6	10	4	4	1	4	2	2	2	3	4	8	4	4	3	2	1	1	1	1	5	9	7	5	7	7	3	9	3	3	5	5	3	5	6
13143	NY	3	2	1	4	4	1	1	4	0	2	0	2	1	1	2	1	4	3	3	0	0	4	2	1	2	0	0	1	1	0	1	3	0	1	0	1	3	2	0	2	0	2	0	2	2	0	0	1	1	5	0	1	1	0	1	2	1	1	1	0	1	2	3	2	2	5	1	0	0	1	0	0	2	1	3	0	2	2	1	0	1	0	0	0	0	0
13145	NY	0	0	3	0	1	3	0	3	1	1	1	0	0	3	1	1	2	1	1	0	3	0	0	1	3	0	3	2	1	4	1	0	1	0	1	2	1	2	2	2	0	3	1	0	0	0	1	2	1	2	0	1	1	2	0	1	0	2	1	1	1	1	2	1	0	0	0	1	0	0	1	1	2	4	3	4	2	1	0	1	1	1	2	0	4	1
